last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Naquin, Tyler,571980,2022,0.704,90.3,14.4,9.6,6.9,25.7,25.2,26.6,5,40.8,79.4,37.8,58.5,51.5,74.6,48.5,45.1,30.5,38.1,33.9,28,40.4,29.4,24.3,6
Piscotty, Stephen,572039,2022,0.593,90.4,10.4,6.3,7.5,27.5,21.3,35,2.5,46.3,75.2,39,35,55.6,73.5,44.4,41.9,41.6,37.5,41.3,21.3,45,20,31.3,3.8
Pollock, AJ,572041,2022,0.681,88.8,11.6,9.4,5.8,23,23.3,33.4,4.8,42,74,34,55.6,51.2,84.8,48.8,42.1,24.7,40.8,35.7,23.5,45.3,22,23,9.6
Taylor, Michael A.,572191,2022,0.669,86.3,12.1,6.8,4.8,21.6,29.4,30.6,6.5,32.9,73.2,31.3,47.3,51.8,79.7,48.2,43,29.1,36.5,37.7,25.8,42.3,28.1,21,8.7
Thompson, Trayce,572204,2022,0.86,92.2,16.4,16.4,7.8,27.3,25,21.1,2.3,46.9,66,23.3,36.5,51.7,71.9,48.3,43.4,37.8,55.5,27.3,17.2,31.3,32,31.3,5.5
Voit III, Luke,572228,2022,0.71,89.8,18.4,14.7,8.3,23.2,27.2,21.4,5.2,44.3,78.2,30.5,41.4,54.9,72.5,45.1,42.3,37.6,46.2,33.6,20.2,34.9,34.9,24.8,5.5
Walker, Christian,572233,2022,0.804,90,17,11.5,6.5,22,29.4,26.4,3.7,44,67.9,23.1,50.8,51.8,84.4,48.2,42.5,24.6,38.8,37,24.2,39.2,30.9,21.4,8.5
Zunino, Mike,572287,2022,0.499,91.8,20.8,8.6,12.9,20,38.6,17.1,2.9,41.4,67.3,37.1,37.5,53.7,74,46.3,42.3,40.2,42.9,30,27.1,28.6,37.1,25.7,8.6
Carpenter, Matt,572761,2022,1.136,89.8,22.4,13.7,9.5,22.1,32.6,14.7,6.3,42.1,63.2,16.6,50,46.9,81.8,53.1,39.9,23.7,57.9,23.2,18.9,27.4,40,25.3,7.4
Dickerson, Corey,572816,2022,0.698,87.7,10.6,3.8,3.8,27.7,23.8,37.4,3,32.8,76.3,40.8,66.8,50.5,82.9,49.5,43.7,22.8,35.7,34.5,29.8,46.8,20.9,25.1,7.2
Ruf, Darin,573131,2022,0.645,89.2,14.8,8.6,8.2,23.7,28,26.3,5.2,40.5,56.8,24.1,53.6,50.2,80.6,49.8,42.8,27.5,42.2,29.3,28.4,41.8,29.7,20.7,7.8
Yastrzemski, Mike,573262,2022,0.696,89.9,19.9,11.1,5.1,21.4,32.8,24.5,4.8,42.5,63.4,22.2,54.4,49.7,83,50.3,43.2,22.5,42.7,33.6,23.6,34.8,31.9,23.6,9.7
Contreras, Willson,575929,2022,0.815,90.4,8.5,10.5,8.3,21.3,16.5,36.2,5.4,48.6,73.1,31.8,48.9,54.2,78.9,45.8,41.5,30.9,40.3,36.2,23.5,51.1,22.9,20.3,5.7
Iglesias, Jose,578428,2022,0.708,83.8,6,0.5,2.3,29,20.5,40.9,6,27.7,63.4,41.3,78.8,52,92.4,48,43,13.2,37.6,39.9,22.5,53.4,16.8,25.4,4.4
Bryant, Kris,592178,2022,0.851,85,13.5,6.7,3.7,28.1,27.4,28.9,5.2,29.6,72.7,24.2,55.7,52.2,86.8,47.8,40.2,21.5,42.2,37.8,20,38.5,34.1,22.2,5.2
Canha, Mark,592192,2022,0.77,87.7,10.9,4.9,6.8,23.6,24.9,35.2,4.1,36.6,60.9,24.4,68.2,49.4,81.6,50.6,43,22.1,39.3,32,28.7,46.1,24.7,23.3,6
Casali, Curt,592200,2022,0.649,87.1,25.4,6,6,24,41,17,5,39,71.2,23.2,53.9,49,77.8,51,43.4,27.1,46,31,23,28,36,23,13
Castellanos, Nick,592206,2022,0.694,87.5,14.6,6.6,6.1,26.5,27.5,28.8,4,35.1,76.8,39.6,47.5,53.3,79.8,46.7,42.7,32.2,35.6,32.1,32.3,42.9,28.5,22,6.6
Drury, Brandon,592273,2022,0.813,89.1,13.8,10.4,7.3,22,25.5,29.3,4.8,42.2,62.5,30.2,64.2,51.2,85.8,48.8,41.1,21.5,44.7,32.1,23.2,40.9,28.3,24,6.8
