last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Mitchell, Cal,668751,2022,0.634,89.9,7.5,4.9,5.6,27.2,21.6,36.4,4.3,40.7,69,32.2,50,50.4,83.8,49.6,42.2,26.6,45.7,31.5,22.8,46.3,21.6,30.2,1.9
Knizner, Andrew,668800,2022,0.6,86,15.6,3.5,3.5,26.1,29.6,31.7,5.5,33.2,65.4,32.9,61.3,51.2,85.2,48.8,44.7,22.7,36.7,39.7,23.6,45.7,23.6,17.6,13.1
Reynolds, Bryan,668804,2022,0.807,90.2,12,7.9,6,24.8,25.8,31.5,4,42.9,73,31.5,49,54.4,84.1,45.6,43.4,27.7,39.2,37.5,23.3,43.7,27.8,24.6,4
Rutschman, Adley,668939,2022,0.806,87.9,15.6,7.9,6.7,25.4,27.3,27.9,4.8,36.8,61.1,23.1,67.7,54.1,88.5,45.9,41.8,17.9,39,40,21,40,26.7,25.1,8.3
Rojas, Josh,668942,2022,0.736,88.8,11.9,4.5,4.8,27.3,26.5,31.3,5.4,36.1,62.6,19.9,58.3,50.5,83.5,49.5,42.9,22.2,32.7,36.1,31.3,43.9,26.2,26.2,3.7
Melendez Jr., MJ,669004,2022,0.706,90.7,15.1,10.4,6.8,23.2,27.1,29.2,2.7,43.5,66.1,24,53.7,51.1,79.3,48.9,41.4,27.8,43.5,33.6,22.9,39.6,32.7,20.8,6.8
Marsh, Brandon,669016,2022,0.677,89.2,10.9,7.4,7,29.8,21,30.1,4.8,38.2,64.7,31.8,55.6,51,77.8,49,43.1,29.1,30.1,43.8,26.1,43.4,27.9,26.1,2.6
Huff, Sam,669087,2022,0.675,88.9,9.7,10.1,2.5,25.3,24.1,34.2,3.8,36.7,75.8,34.7,40,54.7,72.7,45.3,40.7,39,48.1,30.4,21.5,44.3,24.1,26.6,5.1
Langeliers, Shea,669127,2022,0.691,87.3,16.9,9.9,6.6,19.8,29.7,27.5,6.6,38.5,73.4,35.4,35.6,50.4,67.9,49.6,44.4,42.7,54.9,30.8,14.3,37.4,24.2,25.3,13.2
Murphy, Sean,669221,2022,0.758,88.7,11.5,10.5,6.5,23.2,23.4,32.8,3.6,41.4,70.9,29.5,61.1,52.2,82.7,47.8,44,24,39.7,36.6,23.7,42.1,23.4,27,7.4
Senzel, Nick,669222,2022,0.594,87.2,11.7,3.3,5,27.7,24.7,33.3,5.3,33.9,68.2,27.7,61.2,50.9,85.3,49.1,40.5,21.8,38,36.3,25.7,46.3,24.3,23.7,5.7
Edman, Tommy,669242,2022,0.724,88.6,8.7,6.2,5.1,25.6,20.7,37.2,4.5,37.8,64,30.6,61,51.1,87.8,48.9,44.6,20.6,37.8,38.7,23.5,49.4,20.5,23.5,6.6
Smith, Will,669257,2022,0.807,89.9,18.4,10.3,7.2,23.3,33.4,22.6,3.1,43,63.7,21.3,70.9,49.8,83.9,50.2,40.8,19.3,36.5,36.8,26.7,31.5,37.3,25.5,5.8
Suwinski, Jack,669261,2022,0.709,88.3,14.3,12.2,7.5,19.7,25.8,28.6,5.6,40.4,61.1,24.5,42.9,49,79.6,51,44.3,30.5,43.7,34.7,21.6,43.2,31.9,16,8.9
Espinal, Santiago,669289,2022,0.692,86.1,14.1,3.4,3.6,25.7,26.8,35.1,5.5,31.7,67.2,25.6,72.2,50.6,88.3,49.4,42.1,15.5,37.7,39,23.4,43.6,19.2,26.8,10.4
Miranda, Jose,669304,2022,0.751,89.3,13.8,6.2,7.9,26.8,26.3,29.4,3.1,42.4,72.5,32.7,56.7,52.7,85.2,47.3,40,24.3,41.8,33.3,24.9,42.4,25.4,24,8.2
Thompson, Bubba,669352,2022,0.61,84.8,5.3,1.7,4.3,15.5,23.3,38.8,16.4,21.6,79,38.4,51.6,49.9,68.8,50.1,45,31.6,32.8,47.4,19.8,58.6,19,14.7,7.8
Gorman, Nolan,669357,2022,0.721,89.2,20,14.4,11.7,24.4,29.4,16.7,3.3,43.3,74.9,31.1,47.1,54.4,74,45.6,42.7,34.5,38.9,37.8,23.3,27.2,38.3,27.8,6.7
Hiura, Keston,669374,2022,0.765,91.7,16.1,15.3,11.3,22.6,22.6,24.2,3.2,45.2,70.3,29,41.3,51.7,67.6,48.3,43.8,40.1,37.9,41.1,21,36.3,33.9,24.2,5.6
Burger, Jake,669394,2022,0.759,90.7,12.3,14.9,6.1,16.7,26.3,28.9,5.3,43,73.4,36.6,42.9,53.2,76.9,46.8,41.1,35.4,40.4,37.7,21.9,43,30.7,21.1,5.3
Allen, Nick,669397,2022,0.543,83.9,7.6,1.2,3.3,24,23.1,39.7,8.7,22.3,73.8,32.2,53.8,50,84.5,50,43.1,22.7,27.3,34.3,38.4,53.7,19.8,20.7,5.8
Hummel, Cooper,669450,2022,0.58,87.6,7.7,7.1,7.1,23.9,22.1,33.6,4.4,35.4,61.7,18.7,40.5,48.4,81.6,51.6,43.6,27.5,41.6,38.9,19.5,47.8,24.8,20.4,7.1
Smith, Josh H.,669701,2022,0.553,87,19.2,2.4,5.4,27.4,35.1,24.4,5.4,28.6,61.3,21.1,55.9,50.2,81.9,49.8,45.7,23.4,36.3,38.7,25,36.3,26.2,25.6,11.9
Hays, Austin,669720,2022,0.719,87.7,11.3,5.2,7.1,23.3,25.5,35.1,3.3,37.7,67.7,36.2,57.8,53.3,87.7,46.7,42.2,23.5,40.8,36.3,22.9,43.6,22.4,23.6,10.4
Hall, Darick,669742,2022,0.804,91.4,18.6,17.4,6.5,20.7,28.3,25,2.2,44.6,72.2,32.6,40.9,49.7,77.2,50.3,43.5,33.7,40.2,37,22.8,34.8,35.9,23.9,5.4
Call, Alex,669743,2022,0.748,86.3,18.4,1.2,6,26.2,34.5,27.4,4.8,31,62.4,26.1,57.5,49.1,80.7,50.9,42.8,24.8,48.8,34.5,16.7,38.1,31,22.6,8.3
Toglia, Michael,669911,2022,0.653,87.4,17,7.5,3,32.8,28.4,22.4,6,40.3,66,28.1,41.5,48.3,76.1,51.7,45,33.8,46.3,34.3,19.4,38.8,26.9,26.9,7.5
Lopez, Nicky,670032,2022,0.548,84.9,4.9,1.6,2.9,25,20.6,40.9,9.1,22.9,67.8,30,70.2,49.5,86.2,50.5,44.3,17.3,26.3,42.4,31.3,55.2,15.4,24.7,4.7
Alvarez, Yordan,670541,2022,1.019,95.2,12.3,21,7.5,23.2,18.1,29.1,0.8,59.8,63.7,24.8,52.7,54,87.4,46,40.9,23.4,39.1,38.8,22.1,39.9,30.5,27,2.7
Paredes, Isaac,670623,2022,0.74,87.4,15.8,6.4,6.4,19.2,32,31.6,4.1,38.7,60.7,20.5,68.6,51.9,89,48.1,42.9,16.5,49.2,31.6,19.2,42.1,28.2,17.7,12
Brosseau, Mike,670712,2022,0.762,89.1,14.6,8.6,9.7,28,23.7,28,2.2,41.9,66.6,27.9,60.8,50.7,72.4,49.3,46.1,31.1,35.5,39.8,24.7,40.9,34.4,22.6,2.2
Walls, Taylor,670764,2022,0.551,86.3,16.6,6.2,4.8,20.6,33,30.6,4.5,28.5,64.9,19.8,55.5,48.6,78.9,51.4,44,25.4,33.7,36.1,30.2,37.8,26.8,26.8,8.6
Gonzalez, Luis,670768,2022,0.683,86.9,10.9,2.9,7.5,21.6,27.4,31.1,9.5,32,68,26,55.6,49.5,82,50.5,42.6,22.7,29,36.1,34.9,47.3,27,20.3,5.4
Friedl Jr., TJ,670770,2022,0.75,87.2,19.8,4.7,6.8,20.4,36.1,23.6,8.4,29.8,63.1,24,60.8,50.2,85,49.8,43.3,19.9,44.5,31.4,24.1,35.1,32.5,20.4,12
Waters, Drew,671221,2022,0.8,84.1,10.4,12.5,3.6,19.6,21.4,35.7,7.1,28.6,69.9,25.9,46.6,51.7,75.3,48.3,45.5,32.4,39.3,33.9,26.8,48.2,28.6,21.4,1.8
Garcia, Luis,671277,2022,0.703,87.3,5.5,7.5,7.1,27,14.6,38.8,5,36.7,67.5,40.8,60.8,52.4,80.5,47.6,41.4,27,34.5,38.8,26.7,52.3,20.3,25.6,1.8
Harris II, Michael,671739,2022,0.852,89.5,4.5,10.1,6.8,20.8,12.7,41.9,7.5,45.1,67.2,39,52.5,52.5,83.7,47.5,43.7,28.1,32.1,43.5,24.4,55.8,17.9,22.4,3.9
Kelenic, Jarred,672284,2022,0.534,86,18,13.6,5.8,13.6,34,26.2,6.8,35,67.6,28.1,50.5,48.4,72.5,51.6,46.1,33.3,27.2,47.6,25.2,36.9,31.1,16.5,15.5
Kirk, Alejandro,672386,2022,0.786,90.5,8.1,6.7,6.5,27.2,20.2,35.3,3.8,45.4,59.5,23.4,72.7,51.4,89.5,48.6,41.5,15.4,32.2,38.9,28.8,50,20.4,24.5,5
Perdomo, Geraldo,672695,2022,0.54,85,12.1,2,2,25.4,25.1,33.6,10.8,25.1,59.5,21.5,64.2,47.9,83.7,52.1,43.2,18.3,38,39.5,22.5,50.6,19.9,21.1,8.5
Marcano, Tucupita,672779,2022,0.555,84.7,11.1,1.6,6.6,18.9,29.5,33.6,9.8,17.2,64.3,25.6,50.6,47,86.5,53,46.6,20.6,41.8,34.4,23.8,47.5,23.8,20.5,8.2
Robert Jr., Luis,673357,2022,0.746,89.3,10,8.9,4.9,27.3,22.4,32.9,3.6,42.8,83.5,43.2,57.1,54.7,82.7,45.3,43.1,27.1,34.2,37.8,28,45.1,23,26.3,5.6
Kim, Ha-Seong,673490,2022,0.706,86.7,16.1,4.2,6.1,24.8,28.5,29.5,6.1,32.4,60.4,24.9,66.7,48.1,85.8,51.9,43,19.1,45.3,35.4,19.3,40.8,22.9,25.9,10.4
Suzuki, Seiya,673548,2022,0.77,89.6,11.2,11,5.5,22.4,26.2,31,2.4,41.3,56.8,21.3,58.4,49.8,84.1,50.2,44,22.8,28.3,38.6,33.1,40.7,25.5,27.2,6.6
Jung, Josh,673962,2022,0.654,85.5,14.3,10.2,6.8,27.1,18.6,32.2,5.1,32.2,61.9,34.3,52.1,54.1,80.4,45.9,44.4,30.8,47.5,33.9,18.6,42.4,25.4,25.4,6.8
Smith, Kevin,675656,2022,0.514,87,16.4,7.8,5.9,16.7,32.4,31.4,5.9,33.3,70.7,35.2,48.5,49.8,78,50.2,42.2,30.1,32.4,40.2,27.5,43.1,32.4,16.7,7.8
Velazquez, Nelson,676369,2022,0.659,89.2,12.3,13.3,9.2,17.5,24.2,29.2,4.2,43.6,74.2,23.6,40.4,52.8,70.3,47.2,42.6,36.2,39.2,40.8,20,43.3,29.2,20,7.5
Clement, Ernie,676391,2022,0.449,85,11.8,3.6,3.6,21.4,28.6,38.6,4.3,25.7,63.4,34.9,78.3,48.3,86.4,51.7,46.9,16,30.7,40.7,28.6,47.1,28.6,18.6,5.7
Barrero, Jose ,676480,2022,0.401,87.5,17.7,2.2,6.7,22.5,34.8,25.8,6.7,35.2,76.3,40.1,34.3,53.7,77.4,46.3,41.7,38.5,40.4,37.1,22.5,40.4,29.2,21.3,9
Madris, Bligh,676632,2022,0.509,88.9,10.5,4.9,7.3,20.7,20.7,41.5,4.9,41.5,66.9,24.9,56.7,49,79.2,51,39.6,26.8,39,31.7,29.3,51.2,23.2,19.5,6.1
Meyers, Jake,676694,2022,0.582,87.3,7.2,5.2,5.2,25.8,15.5,41.2,6.2,37.1,65.7,30.4,52,51.8,77.1,48.2,39.7,31.2,42.3,39.2,18.6,53.6,16.5,25.8,4.1
Trejo, Alan,676701,2022,0.736,86.2,13.6,4.6,8,28.7,26.4,29.9,1.1,31.4,68.3,36.5,57.3,49.5,82.9,50.5,45,25,44.8,35.6,19.5,39.1,32.2,25.3,3.4
McCormick, Chas,676801,2022,0.738,88.1,12.8,10.2,4.7,22.8,26.4,30.7,5.1,39,69.7,29.6,52.2,53.2,74.1,46.8,41.7,32.2,29.5,39.8,30.7,44.1,31.9,22,2
Franco, Wander,677551,2022,0.746,87.3,8.2,4.6,4.9,28.1,23.5,34.4,4.6,35.8,73.1,30.1,73.1,50.7,92.5,49.3,45.4,13.3,32.6,39.6,27.7,44.2,18.2,29.1,8.4
Rodriguez, Julio,677594,2022,0.853,92,10.1,13.1,8.4,19.3,19.1,36.5,2.5,50.7,70.5,33.5,51.4,54.9,80.1,45.1,44,30.4,39.2,37.6,23.2,46.3,24,22.3,7.4
Duran, Ezequiel,677649,2022,0.643,85.9,9.5,4.5,6.5,18.2,24,42.2,3.2,31.8,72.4,39.2,56.4,50.4,76.8,49.6,44.2,28.9,39.6,29.9,30.5,50,12.3,20.8,16.9
Thomas, Alek,677950,2022,0.619,87.4,2.6,3.8,6.4,21.5,17.6,47.1,2.2,34.6,63.8,33.4,60.7,48.2,81.6,51.8,43,25,32.1,39.1,28.8,57.7,15.7,21.8,4.8
Witt Jr., Bobby,677951,2022,0.722,89.7,16.8,8.7,4.6,23.6,34.3,26.2,2.2,38.6,70.4,34.7,61.2,52,82,48,43.1,25.2,33.2,39.3,27.5,36.2,33.4,22.6,7.8
Torkelson, Spencer,679529,2022,0.604,90.5,15,8.4,8,22.1,27.8,32.7,0.8,41.8,67,24.7,53.5,49.8,82.1,50.2,42.9,25.6,39.2,34.2,26.6,40.7,25.9,25.9,7.6
Vavra, Terrin,679631,2022,0.677,87.5,10.7,1.4,6.9,29.2,26.4,27.8,6.9,23.6,74.9,24.5,57.4,50.1,83.2,49.9,44.4,23.2,27.8,40.3,31.9,41.7,23.6,31.9,2.8
Palacios, Richie,680700,2022,0.578,85,13.5,1.1,2.2,30.1,26.9,33.3,5.4,21.5,68.9,26.1,67.7,48.5,87.9,51.5,44.4,16.6,31.2,41.9,26.9,45.2,17.2,24.7,12.9
Kwan, Steven,680757,2022,0.771,85.1,11.8,1.4,2.6,29.1,29.5,32.6,4.3,20.8,55.1,20.2,79.6,48.7,93.7,51.3,42,9,28.3,37.7,34,42.6,23.6,27.9,5.9
Duran, Jarren,680776,2022,0.645,89.3,7.6,7.7,5.6,22.5,19,38,7,38,68.9,31.5,47.5,50.7,82.6,49.3,44.9,28.2,30.3,43,26.8,54.2,24.6,16.9,4.2
Jeffers, Ryan,680777,2022,0.647,88.2,18.2,13.2,11.9,15.9,25.2,23.2,9.9,42.4,66.8,25.9,62.9,50.4,82.8,49.6,42.3,22.6,38.4,35.1,26.5,37.7,33.8,21.9,6.6
Burdick, Peyton,680814,2022,0.665,90,18,10.5,8.8,19.3,29.8,28.1,3.5,38.6,77.9,29.9,41.3,52.6,77,47.4,44.6,33.6,35.1,33.3,31.6,31.6,33.3,22.8,12.3
Miller, Owen,680911,2022,0.652,85.8,10.1,3.5,5.6,24.7,27.9,32.6,5.3,31.2,62.5,34.7,70.5,52.1,88.2,47.9,42.5,18.5,34.1,40.6,25.3,43.8,22.9,26.8,6.5
Donovan, Brendan,680977,2022,0.772,87.7,6,3.4,4.9,28.7,17.9,40.7,4,37.7,55.7,21.4,66.7,51.3,90.4,48.7,42.2,15.6,32.4,37.3,30.2,54.3,19.1,24.4,2.2
Stott, Bryson,681082,2022,0.652,88.1,13.1,4.4,4.4,26.5,26.8,33.2,4.4,36.8,60.8,28.2,73.9,48.6,86,51.4,46.3,17.2,32.6,35.6,31.8,46.5,23.5,21.2,8.8
Bride, Jonah,681146,2022,0.546,86.9,11.5,1.5,9.1,21.2,25,36.4,6.8,31.1,47.4,24.9,71.6,51.3,89.1,48.7,41.9,17.1,40.2,36.4,23.5,46.2,21.2,26.5,6.1
Carpenter, Kerry,681481,2022,0.795,87.2,14.5,11.1,8.3,22.2,25,30.6,2.8,36.1,71.4,33,51.4,49.1,81.5,50.9,40,27.8,44.4,31.9,23.6,40.3,30.6,22.2,6.9
Villar, David,681584,2022,0.787,86.8,17.8,9.1,2,21.2,36.4,25.3,6.1,36.4,67.3,20.6,27,49.3,73.5,50.7,43.4,37.2,36.4,44.4,19.2,38.4,40.4,19.2,2
Eaton, Nate,681987,2022,0.715,85.8,13.6,5,7.5,22.5,35,25,5,27.5,73,28.4,54.8,53.7,82.7,46.3,43.8,23.8,28.7,42.5,28.7,35,27.5,31.3,6.3
Abrams, CJ,682928,2022,0.602,86.5,6.8,2.1,4.2,23.1,23.1,39.9,6.3,30.7,72.9,41.2,64.3,49.9,83.7,50.1,43.5,22.3,32.8,39.9,27.3,52.5,21,18.5,8
Greene, Riley,682985,2022,0.682,89.5,2.8,9.3,5,25.9,13.9,41.3,3.9,45.2,64.5,27.5,57.4,51.7,82.2,48.3,41.3,25.6,33.6,40.2,26.3,56.8,19.3,22.4,1.5
Carroll, Corbin,682998,2022,0.83,85.8,9.1,5.5,8.2,19.2,20.5,41.1,5.5,32.9,62.8,26.4,51.7,49.6,77.9,50.4,45.4,28.8,37,34.2,28.8,47.9,19.2,27.4,5.5
Henderson, Gunnar,683002,2022,0.788,92.4,2,9.8,6.1,23.2,12.2,45.1,3.7,53.7,66.4,17.9,56,51.9,78.5,48.1,42.7,26.6,40.2,29.3,30.5,57.3,15.9,23.2,3.7
Vaughn, Andrew,683734,2022,0.75,90.8,7.5,7.9,10,22.4,17.9,37.2,2.9,48.6,61.4,32.8,62.7,50.2,87.8,49.8,43.9,21,31,39.4,29.6,48,22.2,25.1,4.8
Pasquantino, Vinnie,686469,2022,0.832,91.2,12.1,8.8,7.5,26.5,24.3,30.5,1.8,46.9,68,26.5,70.5,53,90.4,47,42.2,15.3,39.8,38.5,21.7,40.7,25.2,29.2,4.9
Massey, Michael,686681,2022,0.68,89.3,16.4,13,4.6,21.4,24.4,26.7,9.2,38.2,73.5,35.6,59.4,50.1,75.4,49.9,42.6,27.8,50.4,31.3,18.3,38.9,31.3,22.9,6.9
Grissom, Vaughn,687093,2022,0.792,84.6,9,7.4,2.8,28.7,19.4,34.3,7.4,34.3,70.7,34.7,56.1,52.4,83.8,47.6,41.5,25.6,44.4,31.5,24.1,44.4,24.1,27.8,3.7
